carrier_loss,msg_loss,timestamp,epoch_carrier_loss,epoch_msg_loss,lr,carrier_snr,msg_snr,val epoch carrier loss,val epoch msg loss,val epoch carrier SnR,val epoch msg SnR
8.738917358641629e-07,0.01682051457464695,2025-11-22 06:06:14.582947,,,,,,,,,
0.00020291056716814637,0.016016192734241486,2025-11-22 06:06:14.675884,,,,,,,,,
2.7700464215740794e-06,0.017627611756324768,2025-11-22 06:06:14.916095,,,,,,,,,
2.089924964820966e-05,0.01590130850672722,2025-11-22 06:06:15.175151,,,,,,,,,
8.105384040391073e-06,0.016096796840429306,2025-11-22 06:06:15.404922,,,,,,,,,
1.4898628251103219e-05,0.016112282872200012,2025-11-22 06:06:15.643929,,,,,,,,,
1.758734833856579e-05,0.01604796200990677,2025-11-22 06:06:15.890635,,,,,,,,,
9.372881322633475e-06,0.01593916490674019,2025-11-22 06:06:16.129950,,,,,,,,,
5.099182089907117e-06,0.015811508521437645,2025-11-22 06:06:16.368782,,,,,,,,,
3.1352117275673663e-06,0.015760375186800957,2025-11-22 06:06:16.633849,,,,,,,,,
3.256855416111648e-05,0.015404834412038326,2025-11-22 06:06:16.879168,,,,,,,,,
8.664769666211214e-06,0.015445261262357235,2025-11-22 06:06:17.121986,,,,,,,,,
1.1675641871988773e-05,0.015332101844251156,2025-11-22 06:06:17.353250,,,,,,,,,
1.2697189788468677e-07,0.015680421143770218,2025-11-22 06:06:17.617008,,,,,,,,,
5.590606178884627e-06,0.01563435047864914,2025-11-22 06:06:17.854151,,,,,,,,,
6.939914783288259e-06,0.01555134728550911,2025-11-22 06:06:18.099373,,,,,,,,,
2.465229499648558e-06,0.0152970552444458,2025-11-22 06:06:18.344705,,,,,,,,,
4.7321973397629336e-06,0.015526443719863892,2025-11-22 06:06:18.581116,,,,,,,,,
1.4084502254263498e-05,0.01533446554094553,2025-11-22 06:06:18.824522,,,,,,,,,
1.5864417946431786e-05,0.015059401281177998,2025-11-22 06:06:19.067261,,,,,,,,,
1.3664955986314453e-05,0.01517694815993309,2025-11-22 06:06:19.304560,,,,,,,,,
1.3119774848746601e-05,0.015048539265990257,2025-11-22 06:06:19.552488,,,,,,,,,
7.632331289642025e-06,0.015245465561747551,2025-11-22 06:06:19.793196,,,,,,,,,
3.757608737942064e-06,0.015001703053712845,2025-11-22 06:06:20.036203,,,,,,,,,
4.652284587791655e-06,0.015340805053710938,2025-11-22 06:06:20.287821,,,,,,,,,
5.64259380553267e-06,0.015244271606206894,2025-11-22 06:06:20.528510,,,,,,,,,
6.139701326901559e-06,0.015243708156049252,2025-11-22 06:06:20.774756,,,,,,,,,
6.989389476075303e-06,0.015164130367338657,2025-11-22 06:06:21.010705,,,,,,,,,
8.604222784924787e-06,0.015278385020792484,2025-11-22 06:06:21.261146,,,,,,,,,
